name,id,parent_id,parent_name
Crofelemer,YGAq52r_455,PG6eI07kFtD,Gastrointestinals
Cromolyn Sodium,vOzuSArPGM4,4-2lDblyDZ6,Mast cell stabilizers
Crotamiton,3MvVVXfIyi9,ISv-VRjyQeC,"Anti-infectives, topical"
Crotetamide,1n4qQrK_U5C,NMI8mUwPkp9,Analeptics
Crovalimab,upQipgKK7oF,hTR1UGDfcS6,Monoclonal antibodies
Cryopreserved bone marrow stem cells,8lfxr0Zj1D_,mRC9QLKlDxF,Cells
Cryopreserved peripheral blood stem cells,6O5b0vaIQ74,mRC9QLKlDxF,Cells
Cryptenamine Acetates; Cryptenamine Tannates,0Ra0w1rzEtD,Wiq8p-PTYVB,Antihypertensives
Crystalloid,LcFaWM6iwB8,ca9ok434Sl5,Electrolyte replacements
Cupric Chloride,BRcO0SfB_2C,SXewe47-dN8,Vitamins/minerals
Cupric Sulfate,93TIUBMA4cC,SXewe47-dN8,Vitamins/minerals
Cupric Sulfate; Manganese Sulfate; Selenious Acid; Zinc Sulfate,W_Un3lSdZX5,XLpAbpivax8,"Nutritionals, enteral/parenteral"
Cyamemazine,mcYb6NObiV9,gubJbdWrgV-,Antipsychotics
Cyanide Antidote,OtI5xfITayB,QYJFVr8b3NA,Antidotes
Cyanoacrylate (Histoacryl),nC_RTmuJ349,Q_Q7Gakpyi5,Cytotoxic and immunosuppressant drugs
"Cyanoacrylates, NOS",z6E3DkuzYB7,Q_Q7Gakpyi5,Cytotoxic and immunosuppressant drugs
Cyanocobalamin,JkX-SMvtzJ9,W9GbBqjRhv9,Hematinics
Cyanocobalamin; Dicalcium Phosphate; Ethinyl Estradiol; Methylphenidate Hydrochloride; Methyltestosterone; Nicotinamide; Pyridoxine Hydrochloride; Riboflavin; Thiamine,NrTYDEBIrBA,yHMnIQub3NA,Androgens
Cyanocobalamin; Ferrous Fumarate; Vitamin C,pWxCYaWVlV4,W9GbBqjRhv9,Hematinics
Cyanocobalamin; Folic Acid; Iron Polysaccharide Complex,WmMgr_h9spD,W9GbBqjRhv9,Hematinics
Cyclacillin,cHtKceQyUo7,GouJAgTjMH8,"Antibiotics, penicillins"
Cyclandelate,G7yos_ec0c8,AFoG65o5Dh6,Vasodilators
Cyclazocine,4APonjxAEr9,njguYzQopJG,"Analgesics, narcotic"
Cyclizine Hydrochloride,HCVGu0Ri_vG,K7Tm-wOC4wH,Antiemetics/antivertigo
Cyclizine Lactate,DB5OH2HwZ7D,K7Tm-wOC4wH,Antiemetics/antivertigo
Cyclobenzaprine Hydrochloride,RV2VUGFWLUA,6gRNbPthJjF,Musculoskeletal agents
Cyclofenil,cCdYLBE0KcH,lNDqBEBQaC-,Hormones/hormone modifiers
Cyclomethycaine,3boiV7n_fn9,5oR842bbRsD,"Anesthetics, local"
Cyclomethycaine Hydrochloride,HJKpY971dLB,5oR842bbRsD,"Anesthetics, local"
Cyclomethycaine; Methapyrilene,38TvlYCyB1F,5oR842bbRsD,"Anesthetics, local"
Cyclopentamine Hydrochloride,Ngj7zYcnmB_,tp5SZ2G5lJ6,Adrenergic agonists
Cyclopentamine Hydrochloride; Methapyrilene Hydrochloride; Pyrrobutamine,Rmnr4GsnQL9,tp5SZ2G5lJ6,Adrenergic agonists
Cyclopentamine Hydrochloride; Methapyrilene Hydrochloride; Pyrrobutamine Phosphate,PCk85duXSa5,tp5SZ2G5lJ6,Adrenergic agonists
Cyclopenthiazide,HjAwk0z1ZZ8,btOOmG_g0uF,"Diuretics, thiazide and derivatives"
Cyclopentolate Hydrochloride,s6GehyDZU7D,NNuXAzVcBz-,Anticholinergics
Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride,yJ7_zpipZt9,tp5SZ2G5lJ6,Adrenergic agonists
Cyclophosphamide,_eTu2RFX_4H,A6Teay6CUR_,"Antineoplastics, alkylating agents"
Cyclopropane,qOQnCbO91o8,Ws268WykZhE,"Anesthetics, general"
Cycloserine,OmOyl7oPhuG,bKOyGmkphBB,Antimycobacterials
Cycloserine; Isoniazid,Vr-4E-smCV4,bKOyGmkphBB,Antimycobacterials
Cyclosporine,LVdYgrqnHBC,CkZR4rXDctG,Immunosuppressives
