name,id,parent_id,parent_name
INI1 negative or SMARCA-4 negative tumors,9Fi6o2-FIJA,-9ZzykDimp7,Neoplasm malignant
Initiation and/or continuation of cervical ripening,X9PGbrD-0rD,IqAK52acaKB,Initiation and/or continuation of cervical ripening
Insomnia,im3KmVm-e8F,DQKogncg4i5,Insomnia
Insomnia chronic,cbS3Fyq0h5-,DQKogncg4i5,Insomnia
Insomnia middle,c6vi9rXuMVB,kMowpNb35zF,Middle insomnia
Insomnia primary,cOLR--NMJkE,_TfdogyNHBC,Initial insomnia
Insulin-like growth factor decreased,Ksq7guOyUQA,bOMCO15wTt7,Insulin-like growth factor decreased
Interleukin-1 receptor antagonist deficiency,sf-Jcsj0lc5,m7LMekb9vw6,Interleukin-1 receptor antagonist deficiency
Internal limiting membrane staining,7GAW07DnWI-,qMtNOAdAErB,Ophthalmic scan
Interstitial lung disease,fwTeP2DEAmD,QhUQNWFdq6G,Interstitial lung disease
Intertrigo,x_XXQyzy-pE,T9eWNYRmhD8,Intertrigo
Intestinal polyp,W1UpSGEBkz9,Iz-bs33nw5G,Intestinal polyp
Intraoperative biliary visualization,MGLpCVwIL_-,k1w7fCc8zcB,Photodynamic diagnostic procedure
Intraoperative bleeding,wIwCH8bAScH,cg57a07UyRC,Procedural haemorrhage
Intraoperative breast visualization,5vT8CMVDt3-,k1w7fCc8zcB,Photodynamic diagnostic procedure
Intraoperative lymphatic mapping,3tyti6IrvEB,k1w7fCc8zcB,Photodynamic diagnostic procedure
Intraoperative visualization introabdominal,phf9LwJy4S8,k1w7fCc8zcB,Photodynamic diagnostic procedure
Intraoperative visualization of bladder cancer,NPuLisJ-DX5,k1w7fCc8zcB,Photodynamic diagnostic procedure
Intraoperative visualization of blood flow,lOmfdx-DFB8,k1w7fCc8zcB,Photodynamic diagnostic procedure
Intraoperative visualization of malignant glioma tissue,QCx3K78pNS-,k1w7fCc8zcB,Photodynamic diagnostic procedure
Intubation intestinal,No5J-_hwZwA,CUb9CqF8Nv4,Prophylaxis of nausea and vomiting
Invasive candidiasis,CPGbvsb36aC,QcqEInwDH3G,Systemic candida
Iridectomy,Zz6uTPtNOP4,JyeXBsFO6C4,Iridectomy
Iridocyclitis,G_mPoYCeBCC,KkJWcyXAHlB,Iridocyclitis
Iritis,OkwmQCHjY87,TvhXacIDed6,Iritis
Iron metabolism disorder,F5kKer076XA,_6GlHlP2UtE,Iron metabolism disorder
Iron overload,adaOc27vdw9,p2mKjwWvGlA,Iron overload
Irrigation,2smQf1hLbYH,LjsLV0hLXJG,Irrigation
Irrigation prostate,DMQG7ayzVKB,2tnUigUvSyF,Prostate irrigation
Irrigation solution,Dh7TflthsOG,LjsLV0hLXJG,Irrigation
Irrigation urinary bladder,29dxEIx2ld7,V3trMKFnz06,Bladder irrigation
Irritability associated with autistic disorder,BPq95WDYQeB,oLC2rBiAB5A,Irritability
Irritable bowel syndrome,YSgy0Rb3JVD,fzIaQEFVGFA,Irritable bowel syndrome
Ischemia myocardial,WNgDux6zjh-,lIdiPAcsJO7,Myocardial ischemia
Ischemia myocardial prophylaxis,bgOP-_29bLB,zvHtIVb3CO9,Ischemic heart disease prophylaxis
Ischemic stroke,Xu_ugImpGm8,71dVkgMFzW7,Ischemic stroke
Ischemic stroke acute,T-kQizDGv6H,71dVkgMFzW7,Ischemic stroke
